playerId;displayName;height;weight;dob;position;origin
2011771867;McCauley, Broc;202;98;20-Thg12-86;Ruck;Southport
2001823842;Riewoldt, Nick;193;92;17-Thg10-82;Forward;Southport
2006716318;Gilbert, Sam;194;90;19-Thg8-86;Defender;Southport
2009664745;Beams, Dayne;187;88;12-Thg2-90;Midfield;Southport
2018835317;Shipley, Nick;188;95;25-Thg6-99;Midfield;GWS Giants Academy
2013849588;Tunbridge, Simon;191;94;01-Thg4-93;Forward;GWS Giants Academy
2020719374;Green, Tom;188;85;23-Thg1-01;Midfield;GWS Giants Academy
2005791210;OhAilpin, Setanta;199;100;18-Thg3-83;Forward, Ruck;Ireland
2017798614;OConnor, Mark;191;87;17-Thg1-97;Defender, Midfield;Ireland
2007679983;Clarke, Martin;181;85;13-Thg11-87;Defender;Ireland
2017691632;English, Tim;205;93;10-Thg8-97;Ruck;South Fremantle
2014774903;McCarthy, Cam;192;92;01-Thg4-95;Forward;South Fremantle
2018703883;Frampton, Billy;200;90;20-Thg11-96;Forward;South Fremantle
2014757844;Kersten, Shane;191;90;15-Thg3-93;Defender;South Fremantle
2021789985;Newcombe, Jai;186;85;02-Thg8-01;Midfield;Box Hill
2021824066;Reeves, Ned;208;96;31-Thg10-98;Ruck;Box Hill
2013746965;Jones, Matt;188;81;18-Thg10-87;Forward;Box Hill
